dates,open,high,low,close,adjusted close,volume,dividend amount,tickers,id
2019-03-15,71.06,72.36,70.94,72.13,71.8943,4805860,0,MSFT,56
2019-03-14,71.22,71.47,70.85,70.93,70.6982,2577521,0,MSFT,57
2019-03-13,71.93,72.33,71.15,71.21,70.9773,3926930,0,MSFT,58
2019-03-12,72.3,72.61,71.68,71.78,71.5454,3622793,0,MSFT,59
2019-03-11,71.37,72.39,71.3,72.35,72.1136,3159171,0,MSFT,60
2019-03-08,71.61,72,70.565,71.15,70.9175,3912538,0,MSFT,61
2019-03-07,72.32,72.72,71.66,72.33,72.0936,5296339,0,MSFT,62
2019-03-06,71.42,72.0299,71.19,71.46,71.2265,2691272,0,MSFT,63
2019-03-05,71.69,71.99,71.34,71.39,71.1567,2112949,0,MSFT,64
2019-03-04,72.56,72.88,71.01,71.76,71.5255,3278447,0,MSFT,65
2019-03-01,70.91,72.22,70.8,72.13,71.8943,2947859,0,MSFT,66
2019-02-28,71.25,71.76,70.88,70.98,70.748,3699295,0,MSFT,67
2019-02-27,71.72,71.725,70.96,71.31,71.077,5050381,0,MSFT,68
2019-02-26,72.43,72.54,71.76,72.04,71.8046,3629164,0,MSFT,69
2019-02-25,72.93,73,72.14,72.25,72.0139,4105293,0,MSFT,70
2019-02-22,71.69,72.42,71.485,72.38,72.1435,5585528,0,MSFT,71
2019-02-21,72.1,72.415,71.12,71.34,71.1069,4739089,0,MSFT,72
2019-02-20,73.27,73.41,71.855,72.25,72.0139,3171388,0.2,MSFT,73
2019-02-19,73.21,73.57,72.635,73.18,72.7395,3955742,0,MSFT,74
2019-02-15,73.71,74.05,73.08,73.56,73.1172,2875181,0,MSFT,75
2019-02-14,73.06,73.64,72.92,73.12,72.6799,1496249,0,MSFT,76
2019-02-13,74.16,74.35,73.18,73.58,73.1371,2998419,0,MSFT,77
